x,y,u_bulk,u_exact,label
7.8125000000e-02,1.5625000000e-02,4.6563245004e-03,0.0000000000e+00,0
8.5937500000e-02,1.5625000000e-02,5.1110014287e-03,0.0000000000e+00,0
9.3750000000e-02,1.5625000000e-02,5.5625718618e-03,0.0000000000e+00,0
1.0156250000e-01,1.5625000000e-02,6.0107640624e-03,0.0000000000e+00,0
1.0937500000e-01,1.5625000000e-02,6.4553090166e-03,0.0000000000e+00,0
1.1718750000e-01,1.5625000000e-02,6.8959406292e-03,0.0000000000e+00,0
1.2500000000e-01,1.5625000000e-02,7.3323959076e-03,0.0000000000e+00,0
1.3281250000e-01,1.5625000000e-02,7.7644151330e-03,0.0000000000e+00,0
1.4062500000e-01,1.5625000000e-02,8.1917420187e-03,0.0000000000e+00,0
1.4843750000e-01,1.5625000000e-02,8.6141238523e-03,0.0000000000e+00,0
1.5625000000e-01,1.5625000000e-02,9.0313116229e-03,0.0000000000e+00,0
1.6406250000e-01,1.5625000000e-02,9.4430601300e-03,0.0000000000e+00,0
1.7187500000e-01,1.5625000000e-02,9.8491280761e-03,0.0000000000e+00,0
1.7968750000e-01,1.5625000000e-02,1.0249278141e-02,0.0000000000e+00,0
1.8750000000e-01,1.5625000000e-02,1.0643277037e-02,0.0000000000e+00,0
1.9531250000e-01,1.5625000000e-02,1.1030895552e-02,0.0000000000e+00,0
2.0312500000e-01,1.5625000000e-02,1.1411908569e-02,0.0000000000e+00,0
2.1093750000e-01,1.5625000000e-02,1.1786095080e-02,0.0000000000e+00,0
2.1875000000e-01,1.5625000000e-02,1.2153238177e-02,0.0000000000e+00,0
2.2656250000e-01,1.5625000000e-02,1.2513125042e-02,0.0000000000e+00,0
2.3437500000e-01,1.5625000000e-02,1.2865546923e-02,0.0000000000e+00,0
2.4218750000e-01,1.5625000000e-02,1.3210299103e-02,0.0000000000e+00,0
2.5000000000e-01,1.5625000000e-02,1.3547180876e-02,0.0000000000e+00,0
2.5781250000e-01,1.5625000000e-02,1.3875995508e-02,0.0000000000e+00,0
2.6562500000e-01,1.5625000000e-02,1.4196550219e-02,0.0000000000e+00,0
2.7343750000e-01,1.5625000000e-02,1.4508656157e-02,0.0000000000e+00,0
2.8125000000e-01,1.5625000000e-02,1.4812128392e-02,0.0000000000e+00,0
2.8906250000e-01,1.5625000000e-02,1.5106785918e-02,0.0000000000e+00,0
2.9687500000e-01,1.5625000000e-02,1.5392451670e-02,0.0000000000e+00,0
3.0468750000e-01,1.5625000000e-02,1.5668952562e-02,0.0000000000e+00,0
3.1250000000e-01,1.5625000000e-02,1.5936119542e-02,0.0000000000e+00,0
3.2031250000e-01,1.5625000000e-02,1.6193787670e-02,0.0000000000e+00,0
3.2812500000e-01,1.5625000000e-02,1.6441796217e-02,0.0000000000e+00,0
3.3593750000e-01,1.5625000000e-02,1.6679988790e-02,0.0000000000e+00,0
3.4375000000e-01,1.5625000000e-02,1.6908213475e-02,0.0000000000e+00,0
3.5156250000e-01,1.5625000000e-02,1.7126323008e-02,0.0000000000e+00,0
3.5937500000e-01,1.5625000000e-02,1.7334174966e-02,0.0000000000e+00,0
3.6718750000e-01,1.5625000000e-02,1.7531631978e-02,0.0000000000e+00,0
3.7500000000e-01,1.5625000000e-02,1.7718561951e-02,0.0000000000e+00,0
3.8281250000e-01,1.5625000000e-02,1.7894838324e-02,0.0000000000e+00,0
3.9062500000e-01,1.5625000000e-02,1.8060340318e-02,0.0000000000e+00,0
3.9843750000e-01,1.5625000000e-02,1.8214953211e-02,0.0000000000e+00,0
4.0625000000e-01,1.5625000000e-02,1.8358568615e-02,0.0000000000e+00,0
4.1406250000e-01,1.5625000000e-02,1.8491084751e-02,0.0000000000e+00,0
4.2187500000e-01,1.5625000000e-02,1.8612406732e-02,0.0000000000e+00,0
4.2968750000e-01,1.5625000000e-02,1.8722446838e-02,0.0000000000e+00,0
4.3750000000e-01,1.5625000000e-02,1.8821124779e-02,0.0000000000e+00,0
4.4531250000e-01,1.5625000000e-02,1.8908367954e-02,0.0000000000e+00,0
4.5312500000e-01,1.5625000000e-02,1.8984111688e-02,0.0000000000e+00,0
